name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,comfort_result_time_setpoint_not_met_during_occupied_hours,size_kw,year_one_energy_cost_us_dollars,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_bill_us_dollars,electricity_produced_kwh,water_qbft,size_kwh,natural_gas_kwh,electricity_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_time_setpoint_not_met_during_occupied_heating
API Generated 2021-06-09 08:36:33 +0000,eab54016-49a6-477b-a6be-5a2f1d30ff71,2021-06-09T09:08:22.891Z,2021-06-09T09:23:15.667Z,completed,completed normal,20.02269152,0.907434171,49.83028327,6819.557779,1587.613446,824.5257335,2112,391.6023635,2002330.66,1336,3302151.56,20453089.72,127591.66,1131.497611,26189838.89,20453091.67,1345,767
API Generated 2021-06-08 23:53:41 +0000,396c9d6b-8d42-4ab3-987a-0235d2b5342b,2021-06-09T00:39:03.909Z,2021-06-09T00:54:31.488Z,completed,completed normal,22.82160352,0.219081021,49.64977625,7387.320306,1232.561282,639.7634307,2127,608.915668,1930404.94,1341,3140104.53,20391827.78,126954.39,2558.165244,26205863.89,20391825,1364,763
API Generated 2021-06-09 00:58:20 +0000,796ff42a-f82f-4b80-ada2-97de1a49bed3,2021-06-09T01:42:58.653Z,2021-06-09T01:58:13.165Z,completed,completed normal,27.9536156,0.976262782,49.77857794,7534.059202,1645.445099,782.880118,2150,418.6959368,1969657.83,1337,3259845.45,20230500.56,125086.29,1313.132547,26194027.78,20230502.78,1385,765
API Generated 2021-06-09 08:52:47 +0000,5a45c8d6-a784-4702-84fb-3366f1d85162,2021-06-09T09:38:00.990Z,2021-06-09T09:52:48.424Z,completed,completed normal,25.68208464,0.641329649,48.35452779,542.3272556,511.0954122,390.0965038,2112,1452.890093,1668510.48,1339,2575741.25,20322462.78,126031.85,9498.481343,26184450,20322461.11,1348,764
API Generated 2021-06-09 01:15:15 +0000,ab1663bc-fd23-41d0-8e07-eafa08321895,2021-06-09T01:59:20.868Z,2021-06-09T02:14:17.314Z,completed,completed normal,20.7071137,0.314966673,46.57774237,2150.178663,1150.624994,378.6774095,2147,1093.431822,1773715.21,1409,2790071.8,20178227.78,125749.17,7603.27774,26192247.22,20178227.78,1381,766
API Generated 2021-06-08 21:41:53 +0000,8c9129df-b12f-4f7b-8015-1d4b07b9233c,2021-06-08T21:57:43.482Z,2021-06-08T22:13:05.888Z,completed,completed normal,26.65347208,0.703940071,49.31337639,1669.00569,1344.6917,533.6208792,2126,673.8727628,1870240.81,1342,3034679.2,20281803.33,125589.55,3416.806937,26208916.67,20281802.78,1362,764
API Generated 2021-06-08 21:41:53 +0000,94147f53-f20c-4048-b62e-1edfea204372,2021-06-08T22:28:38.588Z,2021-06-08T22:46:55.152Z,completed,completed normal,20.62234343,0.861892431,42.28096572,1392.963435,1428.953599,781.6449292,2094,436.0385195,1957589.51,1334,3216678.36,20051391.39,125533.84,1468.159615,26238280.56,20051388.89,1329,765
API Generated 2021-06-09 00:58:20 +0000,ea9973d7-ac92-43ef-a9b1-0276e36f5b40,2021-06-09T01:30:01.074Z,2021-06-09T01:44:16.905Z,completed,completed normal,25.65315656,0.356800014,41.32684399,7342.351109,664.0985644,204.2005217,2077,1395.056015,1750904.69,1356,2640288.01,19624638.61,120515.94,10938.50824,26242594.44,19624638.89,1313,764
API Generated 2021-06-09 02:29:27 +0000,d80626e1-e13d-4498-900a-9e79229bb67b,2021-06-09T02:45:08.717Z,2021-06-09T03:00:53.884Z,completed,completed normal,29.08151902,0.139649362,43.76740013,4472.755164,914.7733091,671.1014102,2305,869.698476,1826717.2,1663,2930923.46,19825259.72,120434.15,4672.031098,26217986.11,19825258.33,1542,763
API Generated 2021-06-09 07:04:45 +0000,eedaa290-10d5-45d2-ac44-6ec8a6acd3a9,2021-06-09T07:21:27.695Z,2021-06-09T07:36:36.801Z,completed,completed normal,21.00791837,0.128197654,48.64253973,548.3155539,1533.239731,213.5890785,2122,1171.37158,1749812.11,1335,2704508.17,20442328.89,127392.64,10261.47576,26198400,20442330.56,1358,764
API Generated 2021-06-08 23:19:42 +0000,61824195-b4fe-488b-87ab-e7d1f3979f9e,2021-06-08T23:19:43.624Z,2021-06-08T23:38:12.699Z,completed,completed normal,23.37098138,0.852466605,40.237248,4232.858437,865.7305431,528.0565403,2086,895.0524756,1787059.38,1336,2835213.34,19799471.39,122549.32,5612.260696,26254813.89,19799469.44,1320,766
API Generated 2021-06-09 05:32:13 +0000,56624c93-beb4-407a-a980-8c0399d5bb2b,2021-06-09T06:19:55.588Z,2021-06-09T06:35:04.161Z,completed,completed normal,20.3536846,0.748361307,47.37971357,618.5581085,874.1126808,427.281102,2104,1100.638696,1748336.51,1337,2736148.23,20473855.56,127475.18,7513.010501,26194958.33,20473855.56,1341,763
API Generated 2021-06-08 23:19:42 +0000,793ad062-d2c6-4213-8f20-b1a1c09306d9,2021-06-08T23:51:38.862Z,2021-06-09T00:06:11.734Z,completed,completed normal,26.40475494,0.109747905,43.01469052,6137.18741,1065.200312,829.3750975,2235,630.9409643,1891674.29,1587,3102425.39,19697353.06,120230.58,2188.987941,26235072.22,19697352.78,1473,762
API Generated 2021-06-09 11:40:43 +0000,601f9b12-e982-402e-bf64-d5fb3936b542,2021-06-09T12:26:01.696Z,2021-06-09T12:40:34.648Z,completed,completed normal,28.96402191,0.11020762,40.51858072,7591.371305,814.0117333,784.3989342,2210,658.8116695,1899764.58,1592,3070665.54,19739777.78,119650.96,2869.889495,26258138.89,19739780.56,1446,764
API Generated 2021-06-09 13:12:46 +0000,48a88992-ca67-49c7-aca5-741c580f9a74,2021-06-09T13:28:36.840Z,2021-06-09T13:43:26.365Z,completed,completed normal,29.09186845,0.681175217,48.10622986,6800.574576,496.8213323,342.7545795,2126,1380.460123,1744821.59,1343,2677611.58,20220283.89,124568.79,10230.06092,26183061.11,20220283.33,1360,766
API Generated 2021-06-09 13:12:46 +0000,847108ac-eabc-4f88-bb6d-30e3d17e589a,2021-06-09T13:29:20.262Z,2021-06-09T13:44:18.977Z,completed,completed normal,27.3235498,0.122438548,40.29451595,6052.224762,731.1323128,835.9387531,2228,669.9967464,1900085.2,1581,3089898.61,19708462.5,119959.72,2744.755974,26257072.22,19708461.11,1464,764
API Generated 2021-06-08 23:19:42 +0000,3a931503-3d60-44b3-8940-618896b4a37e,2021-06-08T23:53:45.224Z,2021-06-09T00:09:07.937Z,completed,completed normal,27.49510781,0.994526619,49.90862889,5844.199283,1631.201891,837.2155751,2129,406.1532122,1974202.1,1338,3269603.17,20237772.5,125179.38,1224.409255,26193702.78,20237772.22,1366,763
API Generated 2021-06-09 03:01:15 +0000,6391f3d3-ae2d-488c-84ac-5141975ac00f,2021-06-09T03:46:16.369Z,2021-06-09T04:00:36.157Z,completed,completed normal,20.02209154,0.736665512,40.26154982,5013.620357,1232.929945,267.1123541,2090,1114.673032,1768141.89,1337,2729830.84,19827869.72,122637.82,8819.322352,26264547.22,19827869.44,1327,763
API Generated 2021-06-09 04:17:20 +0000,15339ccb-a72c-4691-80ea-1804e68435d0,2021-06-09T05:02:47.876Z,2021-06-09T05:17:24.712Z,completed,completed normal,20.13236601,0.938382789,49.68245108,683.1912242,1608.792722,249.7701571,2121,1161.705064,1762644.77,1336,2722419.33,20447250.83,127564.79,9886.711909,26189697.22,20447250,1358,763
API Generated 2021-06-09 08:52:57 +0000,e856e1fe-92a4-40a8-9f35-b57e2565bd56,2021-06-09T09:38:22.405Z,2021-06-09T09:53:20.375Z,completed,completed normal,20.40094996,0.164447569,47.00219407,534.8365011,1421.272927,205.636677,2117,1162.911802,1785358.18,1336,2741026.03,20466785.56,127459.66,10308.53381,26203286.11,20466786.11,1354,763
API Generated 2021-06-09 10:09:00 +0000,bc18564d-7351-4b7b-bbb2-3a79aebe26da,2021-06-09T10:25:07.668Z,2021-06-09T10:40:28.322Z,completed,completed normal,29.76971838,0.710924714,48.77202012,552.4635412,1619.374704,361.2966738,2132,777.3010369,1851230.35,1338,2959298.86,20184066.11,124426.3,5201.997981,26185936.11,20184063.89,1368,764
