chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,year_one_energy_cost_us_dollars,size_kw,natural_gas_kwh,not_met_during_occupied_cooling,size_kwh,year_one_bill_us_dollars,year_one_demand_cost_us_dollars
21.73436668,0.602046134,40.32400547,39202.35364,525.2398835,215.5108139,19635980.56,1797975.21,1695.860262,26254755.56,1288,12442.32381,2626318.46,821143.25
27.17388409,0.994526619,49.90695406,31482.42569,1670.25629,831.9883921,20250041.67,1990457.78,378.5631425,26195586.11,1382,1052.480134,3303543.82,1305886.03
28.92610298,0.823591141,42.14386358,39363.50071,1652.345537,783.6526152,19683427.78,1890259.41,480.1585324,26237547.22,1320,1858.524616,3048048.02,1150588.61
29.75429704,0.426662102,40.54995276,5805.614449,1619.072141,787.9240189,19962655.56,1932295.02,452.2310206,26251091.67,1335,1932.942906,3151068.35,1211573.33
26.22418675,0.300972315,41.5618431,36060.89443,656.7748271,222.6940018,19495800,1789767.17,1530.208991,26222330.56,1326,11285.85306,2635738.84,838771.67
25.83085726,0.585953464,40.49061347,29134.46673,463.8780835,203.7661778,19504747.22,1793557.33,1614.57719,26255527.78,1304,12133.02752,2628266.31,827508.98
21.34807097,0.578868092,40.75078425,24217.92438,648.3903881,227.2670461,19622575,1815328.08,1424.760238,26248294.44,1317,10592.06613,2679609.83,857081.75
26.2127344,0.894710127,49.59823068,37454.0848,1670.051734,837.2155751,20301219.44,1995652.41,334.3427954,26201294.44,1372,997.7834282,3313154.72,1310302.31
20.34628256,0.46500291,49.69841738,13752.05351,497.4475922,203.7787887,20438841.67,1803095.8,1684.658528,26189705.56,1352,13502.12318,2704888.61,894592.81
23.67396766,0.814426389,46.95256134,12626.15872,833.1567756,691.5516354,20281519.44,1914081.76,669.7815925,26210372.22,1342,3049.016031,3094801.62,1173519.86
22.76191654,0.397859507,40.35152718,33514.86408,436.6494377,213.6502433,19605122.22,1798315.95,1704.918495,26246019.44,1325,12614.81897,2624371.48,818855.53
29.35053563,0.901681011,49.68016014,32835.7514,523.3241535,519.3366169,20201625,1688870.07,1280.160815,26185241.67,1406,7420.665766,2654714.13,958644.05
28.20483832,0.994335777,49.60686309,27080.80077,1669.708767,837.2155751,20222925,1987986.23,350.2503477,26202127.78,1385,1052.016929,3301344.27,1306158.03
29.7667328,0.439801766,40.6877234,34316.83686,447.2515827,312.7151612,20067947.22,1795092.84,1261.444285,26243841.67,1306,9546.748542,2716280.77,913987.94
21.1586407,0.812265588,40.96342945,38553.19623,1592.25237,273.3028278,19634361.11,1846293.87,1039.110195,26250044.44,1328,8131.531808,2786909.02,933415.15
25.44492771,0.860787403,42.31482125,37499.13609,1658.510805,804.6937807,19503438.89,1868461.39,479.8689381,26240577.78,1329,1718.778844,3009704.2,1134042.81
25.39686098,0.814651311,40.84625871,26995.32354,1536.400683,774.4430861,19501572.22,1864499.31,564.0351955,26251005.56,1324,2316.105409,2975725.15,1104025.84
29.7763368,0.396197938,42.9912495,5586.811874,542.1268884,639.4536233,19969411.11,1787452.39,1105.316476,26224586.11,1346,6533.126794,2798222.92,1003570.53
21.94986739,0.65734497,49.52835477,14875.07325,563.5745723,518.1293425,20413758.33,1722731.97,1268.826581,26199950,1379,7360.726621,2696596.91,966664.94
21.81529382,0.406734799,49.90862889,28914.35133,1643.196197,782.2594335,20416119.44,2004055.12,424.2840454,26188211.11,1402,1290.472408,3302780.98,1291525.87
24.24819653,0.994268168,49.9051714,11656.17229,1621.577865,203.8950412,20354530.56,1797006.35,1182.335164,26186500,1367,10310.71222,2768924.45,964718.1
20.10990183,0.762280256,47.21157048,35642.65592,426.4491924,804.8877933,20476066.67,1945071.88,771.9703004,26199055.56,1332,2874.079462,3132417.42,1180145.54
25.70968292,0.982127913,41.2126679,36715.97892,1658.870869,797.9361767,19503947.22,1867755.85,493.6188361,26233955.56,1310,1819.656841,3005068.86,1130113
20.02209154,0.643872919,40.3885223,27304.45936,1451.073471,239.0489749,19642586.11,1844172.75,1112.717767,26249602.78,1306,8570.965422,2777571.18,926198.43
20.67731945,0.53962269,40.25950517,13017.407,484.2662893,220.2917711,19660950,1833133.72,1588.962857,26244530.56,1335,11233.6697,2710813.61,870479.89
26.82290289,0.568214722,41.58101942,33318.65706,1473.642231,821.6290236,19464363.89,1863077.4,523.3410081,26234944.44,1308,1949.768228,2993396.28,1123118.88
29.32029173,0.891118507,49.85845316,39470.99064,754.8077583,438.7400722,20215455.56,1692100.46,1331.039881,26184297.22,1378,8096.090936,2643049.84,943749.38
22.63254787,0.464029379,40.31467758,14875.07325,501.2163425,260.1634795,19601383.33,1803891.63,1621.378459,26261633.33,1316,11492.75176,2656294.09,845202.45
25.46102797,0.50255051,42.67351057,24464.61315,1099.717794,441.2995132,19497788.89,1806252.82,995.8425385,26239466.67,1301,5942.395654,2770161.35,956708.53
29.14536294,0.483674433,43.90662513,18538.86368,501.2163425,649.4041458,19760069.44,1840857.41,863.61571,26218855.56,1336,4676.818408,2880776.75,1032719.34
29.26054949,0.858283765,49.67266281,17290.96707,419.2631884,760.3277249,20198202.78,1877797.63,827.2757525,26193530.56,1381,3240.592556,3041648.13,1156650.5
25.5726745,0.9895784,47.43366812,39394.74682,1639.381256,834.2927385,20336477.78,1998568.01,375.8464634,26190741.67,1350,1017.76002,3319680.18,1313912.17
22.36804327,0.602046134,40.25031751,39202.35364,525.2398835,225.2427623,19620158.33,1811808.28,1474.912251,26241113.89,1323,10997.9943,2668387.96,849379.68
25.90944758,0.200203775,42.67351057,27887.07792,1061.800406,445.7751545,19486655.56,1825738.28,935.7371912,26227913.89,1355,5844.452237,2802942.65,970004.37
20.7872019,0.577303423,48.59397608,32210.02391,1669.947047,796.2749948,20448816.67,2008802.58,375.2370776,26193227.78,1367,1051.214714,3329141.28,1313138.7
27.64338219,0.953183941,40.37704746,29910.45685,1585.531789,837.2155751,19479933.33,1866746.33,466.3782792,26257950,1311,1594.417895,3028328.47,1154382.14
24.29277576,0.502994905,47.34441722,35848.15022,1662.025592,794.0385307,20388350,2002350.94,337.9686718,26191500,1348,1043.297295,3313224.48,1303673.54
27.18484655,0.994526619,49.90862889,33571.46305,1643.196197,837.2155751,20260286.11,1991834.83,367.7555357,26183652.78,1361,994.9731376,3308209.56,1309174.73
27.09431979,0.33873815,49.74163994,39372.33055,1619.809802,836.7172316,20267547.22,1992473.2,367.9032955,26199141.67,1374,996.4218148,3306255.64,1306582.43
25.05072345,0.993630139,49.31327552,35785.37091,1667.042354,799.2042364,20334708.33,1996946.49,413.1667458,26200775,1361,1233.601451,3296669.29,1292522.8
20.29405206,0.601542623,40.83060977,37503.56525,499.733626,231.0352963,19646363.89,1814902.34,1502.172717,26250361.11,1335,11123.99597,2670477.43,848375.09
29.32384977,0.494037493,45.27714256,5760.512222,431.1244411,788.4420479,19895622.22,1917640.73,651.5468281,26212652.78,1355,3377.318099,3042087.69,1117246.96
28.22368681,0.521724042,41.84920261,35618.26622,1503.73217,826.0321888,19538558.33,1872044.59,514.4907498,26229838.89,1347,1818.210436,3024614.56,1145369.97
29.74037281,0.718769788,49.58992116,12007.31554,1031.237628,642.4034593,20180994.44,1895221.17,659.9033932,26198394.44,1385,3097.603535,3082850.84,1180429.67
29.37774199,0.720128088,40.31747547,24959.69529,1522.225885,822.850029,19845055.56,1910512.89,468.3079297,26254958.33,1312,1732.733563,3095923.87,1178210.98
21.87236988,0.567613989,40.16884964,33647.31876,464.1103061,203.7343668,19631638.89,1804717.47,1709.041321,26264933.33,1338,12673.61622,2633903.23,821985.76
20.49253888,0.446002562,49.57314949,7818.26644,448.396789,355.0677528,20441552.78,1753521.69,1452.142417,26206225,1372,9917.161133,2686233.67,925511.98
29.21541089,0.377790448,41.82759314,29675.58833,441.9590415,759.1115109,19786383.33,1893002.49,743.6634542,26238616.67,1311,3521.594618,2997771.26,1097568.77
28.089705,0.994526619,49.90862889,31825.03746,1643.196197,837.2155751,20220852.78,1988110,367.7992508,26195408.33,1387,995.0818407,3304483.07,1309173.07
25.20698236,0.994526619,49.79767252,38470.60393,1655.032695,826.5771879,20328750,1997868.37,370.8945972,26200788.89,1381,1052.298226,3308732.43,1303664.06
22.2290492,0.48230271,40.26424198,26755.32611,479.8975336,221.7170913,19611144.44,1792483.98,1686.318594,26248000,1328,12302.01064,2619986.66,820302.67
22.35107111,0.356646177,46.53702049,29862.5436,1095.963791,619.4651205,20171300,1929690.88,639.326085,26202933.33,1355,2881.703406,3079000.37,1142109.48
20.06294793,0.436235801,41.57963094,19529.66131,440.1600697,220.2833224,19635297.22,1809173.42,1620.599102,26234441.67,1330,12029.72211,2647684.59,831311.17
21.77125692,0.486282221,40.2847215,25226.07286,450.554141,204.8086029,19626994.44,1804471.48,1707.216852,26253058.33,1324,12659.00656,2632846.18,821174.7
20.0238063,0.619286444,49.684239,27882.80683,467.4501792,211.5440813,20447361.11,1804379.06,1702.659892,26189519.44,1383,13597.49019,2705922.3,894343.24
24.27151963,0.979356286,49.86602047,28680.34363,1617.891584,837.2155751,20359638.89,2000649.47,378.6528645,26196633.33,1367,1052.41009,3313513.85,1305664.37
20.79413568,0.443197738,40.52661738,15179.23264,468.4344596,254.8461671,19645263.89,1812603.13,1675.171705,26251816.67,1318,11485.95511,2666137.24,846334.11
29.41081638,0.14377931,43.97242459,17576.21244,960.9367387,675.3536358,19897200,1856352.21,777.0298579,26220741.67,1499,4108.295124,2977067.98,1113515.77
29.51826793,0.184545216,41.10128952,25088.94662,483.9895607,265.7432073,19975825,1794458.11,1485.505114,26254669.44,1424,11023.66711,2706083.03,904424.92
21.33789454,0.336318154,43.42246121,27083.58625,417.9292143,335.2534554,19657633.33,1814720.85,1250.444078,26217633.33,1342,8557.154229,2721937.83,900016.98
29.1065589,0.163439934,43.31493881,12110.31915,493.0093786,671.1014102,19767344.44,1801168.27,978.0297755,26216852.78,1441,5305.107897,2872596.54,1064228.26
20.12412412,0.501253381,40.31031501,5205.659246,644.5336385,207.3870773,19813933.33,1800230.92,1506.296256,26259819.44,1315,11953.71785,2707037.74,899606.82
22.10528157,0.889763629,49.71839184,11441.73512,594.4294036,526.8334074,20414919.44,1728894.18,1252.429592,26193036.11,1370,7165.368601,2708619.22,972525.04
25.77647591,0.912024686,40.70856653,19729.67271,1638.165273,799.0130575,19496913.89,1865318.23,533.1667535,26247988.89,1324,2129.950659,2990065.39,1117547.16
29.71466952,0.415774261,45.39706662,24350.03314,1036.603532,741.0378813,20116861.11,1944574.83,487.4896219,26200300,1377,1999.145937,3126101.48,1174326.65
27.22956002,0.981491526,48.19660075,27637.15046,1668.916971,826.4226835,20275600,1993028.01,334.3819055,26195541.67,1373,1010.419323,3297033.72,1296805.71
26.92719102,0.635271963,41.04885275,36656.83714,1490.524089,797.9361767,19454677.78,1860225.59,556.7090921,26252072.22,1300,2238.81323,2975128.57,1107702.97
20.45633548,0.354177439,41.60708404,24574.35603,1553.421562,483.245627,19633633.33,1846972.41,832.0096461,26241647.22,1307,4653.276495,2867194.91,1013022.5
26.22418675,0.422942144,42.13976256,36518.457,853.6808201,239.7483956,19500069.44,1807382.42,1236.336309,26242766.67,1347,9675.914959,2692336.6,877754.18
22.1918416,0.42361339,48.39316635,21242.17725,1665.451388,835.7241347,20423877.78,2006886.58,334.3729153,26194786.11,1344,1008.701489,3333045.64,1318959.06
28.22367255,0.536629539,47.15571633,19108.76077,619.4690865,416.5376219,20249491.67,1751386.13,1343.189343,26194213.89,1315,8975.481256,2709721.99,951135.86
28.99521175,0.14377931,44.44940526,14292.44077,1217.511999,569.189988,19711666.67,1832251.57,935.7434629,26224355.56,1447,5447.53493,2907346.67,1067895.1
27.79457475,0.994526619,49.90862889,32210.02391,1657.051406,837.2155751,20230436.11,1989004.79,367.9452112,26188969.44,1387,995.0817347,3305202.69,1308997.9
26.74953217,0.493343241,44.60288088,32388.53545,741.5942196,669.4756621,19637422.22,1828398.35,800.2560035,26221894.44,1326,4285.93296,2875455,1039856.66
28.515406,0.570950217,42.68896189,22127.44941,440.7945687,635.2233126,19573405.56,1784004.34,1038.310072,26230030.56,1322,5571.75326,2770155.34,978951
29.84986149,0.949443732,45.39790141,9586.993828,1654.889865,634.8360226,20085386.11,1940597.06,479.4986727,26202113.89,1366,2313.484405,3108953.79,1161156.73
21.02492265,0.767330571,40.56691754,27784.02507,466.4286479,237.5338753,19632697.22,1802180.43,1581.269891,26246844.44,1313,11581.49796,2644661.44,835281
27.83268542,0.686778321,41.7123688,25302.49816,1549.532278,831.9442448,19489211.11,1867820.15,474.0266699,26242441.67,1312,1663.982452,3036324.93,1161304.78
23.61394737,0.480282373,47.72757461,30659.95168,468.8385769,660.0577779,20409027.78,1783202.27,1204.929457,26192355.56,1328,5747.632521,2827073.46,1036671.2
20.78920685,0.757403983,40.46141627,23580.81327,587.5495211,217.9077947,19637630.56,1815628.24,1425.955896,26243311.11,1319,10664.97013,2678552.81,855724.57
27.2332204,0.201262641,41.84166286,33209.87403,947.4169266,812.5539962,19503816.67,1860924.6,669.0900457,26239569.44,1305,2954.633628,2943650.34,1075525.74
24.82833663,0.99358819,49.90862889,31119.29417,1666.602461,837.2155751,20337166.67,1998873.73,367.4766656,26190736.11,1385,995.0816688,3314878.67,1308804.94
29.50946756,0.533048199,44.27917884,27382.25142,440.7323663,508.9974904,19947386.11,1794971.38,1119.867365,26225688.89,1364,6753.421627,2751260.77,949089.38
20.11072758,0.746248476,40.16253996,31058.35235,475.7013122,211.2241337,19649944.44,1805510.43,1703.048851,26239822.22,1291,12587.53334,2633586.29,820875.86
20.16925197,0.340722733,46.09315288,39389.14285,1452.798943,775.6357766,20073072.22,1944621.66,521.7822051,26195255.56,1324,2148.695802,3122113.67,1170292.01
21.88949871,0.735240579,40.29256478,34543.90724,420.4150622,206.4092696,19625427.78,1804162.4,1717.719124,26253672.22,1314,12733.6981,2630902.28,819539.88
20.22988475,0.980932576,48.60945133,33105.11319,1663.042412,822.1331915,20459219.44,2009002.88,399.3258375,26205422.22,1383,1159.486504,3322813.47,1306610.59
20.80904455,0.77938914,49.56325645,8655.36243,484.4232978,440.6647499,20435330.56,1713969.53,1341.209403,26201316.67,1375,8301.124723,2661488.89,940319.36
21.61352494,0.424666981,49.6969865,34293.37876,1327.737748,393.0914476,20420358.33,1782520.51,996.1834687,26188325,1353,6217.030023,2822439.16,1032718.65
29.26054949,0.848046113,49.86526956,26660.25148,764.6142167,481.9576222,20200347.22,1707892.59,1263.636323,26190994.44,1346,7279.112241,2685809.12,970716.52
29.47954418,0.623383427,41.14811432,16249.68367,1142.487504,232.1839823,19850350,1791306.18,1116.797795,26244075,1321,9115.339006,2723388.59,924882.42
24.45229593,0.749342176,47.53382689,38079.02887,1255.939762,287.3582867,20381666.67,1789288.63,1213.419599,26197191.67,1343,9787.072782,2757215.69,960727.05
20.02260358,0.501253381,49.85093297,5174.668735,681.3483444,228.4709959,20451783.33,1767711.57,1493.502158,26186625,1357,12060.89916,2674052.95,899141.37
24.85908589,0.444725652,40.99980804,29027.17047,577.7147955,237.7144961,19525597.22,1802678.18,1432.377446,26249400,1336,10652.0446,2664338.11,854459.93
24.08861404,0.318797209,40.27276987,30474.76337,434.0902988,203.8936875,19554802.78,1795946.87,1725.074625,26256588.89,1352,12918.79386,2618416.02,815269.15
20.06000658,0.658137192,49.79769878,8524.214147,445.744371,203.8045773,20438902.78,1822139.48,1868.524998,26206000,1371,14783.81894,2716557.72,887218.24
20.97647671,0.420776116,42.14090643,7502.150062,436.0827576,236.7344887,19732380.56,1844603.05,1430.940513,26234511.11,1303,11717.21716,2759508.05,907705
21.06200365,0.155053824,43.17096992,5090.175975,856.6488483,277.1594209,19888541.67,1820183.94,1221.697651,26240230.56,1480,9797.399747,2804704.71,977320.77
20.02266502,0.351673141,49.85093297,8748.203997,753.1695801,231.7042966,20444802.78,1761773.22,1459.493006,26190980.56,1368,11643.35318,2672653.39,903680.17
22.52776117,0.501253381,49.85093297,5101.688745,681.3483444,237.4786502,20410980.56,1757401.61,1493.865747,26185291.67,1360,11819.50509,2664150.46,899548.85
28.57409498,0.590691057,49.48721563,15725.73213,498.4593541,210.7853723,20213122.22,1777879.49,1693.323615,26184916.67,1379,13684.25886,2672451.09,887371.59
21.73436668,0.602046134,40.2110291,39453.04967,1642.459957,793.6489918,19633797.22,1878919.95,522.7983741,26245066.67,1310,1952.641227,3022603.8,1136483.84
20.23502212,0.133631749,45.87708031,26406.64482,982.2311206,810.4456301,19682088.89,1881274.15,643.0541868,26212408.33,1338,2833.134463,2971504,1083029.85
20.02295074,0.501253381,49.85234333,5211.447935,681.3483444,247.9415374,20445300,1761605.12,1474.305076,26196811.11,1377,11594.75846,2672623.2,903818.08
23.49682101,0.500694075,48.81840256,39283.83438,1593.695595,826.4044567,20387319.44,2003028.89,377.4287428,26184630.56,1346,1051.233629,3311181.95,1300953.06
20.11665765,0.760119591,47.93458931,33040.42977,739.0138999,717.8178688,20462200,1898871.69,831.8122326,26187066.67,1342,3288.583417,3065532.36,1159460.66
27.10483382,0.994526619,49.68159009,30487.97418,1652.724594,837.2155751,20261522.22,1991957.96,334.3317419,26189644.44,1378,996.9458386,3308970.81,1309812.85
28.02614151,0.47178552,44.59850722,26832.24005,1295.068409,680.7119444,19660925,1887873.49,579.0079303,26229788.89,1336,2817.066497,3007923.59,1112850.09
23.87401043,0.655554552,46.17234398,7775.438933,784.0555612,619.7070344,19960927.78,1864227.39,705.03433,26203413.89,1357,3600.558213,2984668.56,1113241.17
26.855502,0.135376206,49.90862889,27335.81021,1210.651242,829.9488983,20263219.44,1964814.72,514.0291586,26186866.67,1376,1876.004223,3224825.91,1252811.19
25.76322185,0.413829594,46.54318912,26370.0416,713.7757998,301.0897697,20068691.67,1739958.26,1328.990961,26198252.78,1349,9540.356751,2663843.58,916685.32
28.515406,0.517646393,44.60288088,25350.71135,429.5928616,635.2233126,19700638.89,1807345.7,882.9652474,26214019.44,1351,5105.547676,2814233.47,999687.76
29.18901655,0.927746223,40.35668941,35549.15759,523.126263,220.2917711,19787161.11,1846586.92,1408.686678,26254569.44,1302,11289.69018,2748641.51,894854.59
29.05119198,0.607871676,44.3556467,37795.7322,1069.059439,636.9773554,19794425,1852007.28,737.4124947,26213883.33,1339,3774.195577,2920478.61,1061271.33
20.98359045,0.62406938,47.74566068,34991.6497,1660.267929,804.8024164,20457186.11,2009837.97,334.4248711,26189530.56,1362,1014.787113,3341905.77,1324867.79
28.09551678,0.517646393,46.50118186,29386.97325,429.5928616,674.2825673,19917411.11,1870468.04,780.7129985,26194330.56,1341,3600.618133,2981065.97,1103397.93
20.02253151,0.573032419,49.86762012,5108.731604,681.3483444,228.4709959,20445136.11,1768097.78,1494.550747,26198933.33,1363,11995.33714,2675645.43,900347.65
28.29016411,0.4509601,49.79225,28208.45036,1596.893266,580.5853492,20221419.44,1926489.54,610.1632341,26199225,1370,2549.991756,3145077.26,1211387.73
23.57390471,0.464029379,40.43941239,19804.41612,555.1273796,267.5462542,19567936.11,1774823.76,1517.467899,26245847.22,1309,10712.78587,2621669.41,839645.65
20.3785148,0.976635483,46.92574389,23304.02985,1672.145938,804.7377917,20311847.22,1992587.54,334.5846365,26196772.22,1353,1038.586588,3293815.57,1294028.03
24.41514785,0.984063133,49.53483568,33169.0169,1668.814609,827.9678638,20355372.22,2000490.72,352.7541656,26192913.89,1351,998.3913694,3314419.28,1306728.56
21.681421,0.572365802,49.29741548,38317.79081,1407.218565,825.0603743,20425358.33,2004067.23,445.778792,26194366.67,1365,1445.860431,3292885.14,1281617.91
22.96808225,0.613393509,47.32628026,24620.69138,483.3516605,797.8001196,20423802.78,1939962.02,772.2039476,26181955.56,1341,2873.516823,3127393.49,1180231.46
20.02303381,0.920457656,49.89166254,5127.672227,1512.870182,835.7960918,20441116.67,2006570.26,423.3601401,26197850,1383,1287.497838,3305686.21,1291915.95
20.02236521,0.835860579,49.1896567,19440.79681,532.1486368,241.0180171,20448638.89,1793172.84,1554.822167,26197338.89,1379,12375.81231,2706332.24,905959.4
22.82277172,0.612254252,41.14811432,16169.6034,471.8956291,239.4142933,19586272.22,1802534.48,1599.327925,26254527.78,1315,11778.31846,2645690.8,835956.31
20.63216511,0.908273835,46.40241414,35369.86755,1652.543077,760.3805155,20121786.11,1963117.05,387.1658814,26204558.33,1335,1258.558365,3214875.43,1244558.38
27.72029773,0.892076934,42.94897919,26678.00512,427.1971405,626.4297123,19486116.67,1800038.71,1162.553681,26231738.89,1333,5683.973812,2775961.57,968722.85
28.77360839,0.276060865,49.89033244,28404.46753,427.4101981,737.5114202,20199147.22,1874596.48,843.4197107,26194952.78,1404,3332.205418,3032738.14,1150941.67
28.37407747,0.837733054,40.25632472,34026.37018,548.3030595,247.2123006,19572750,1781580.12,1507.799273,26247100,1342,11011.98773,2642422.55,853642.43
28.52686228,0.132385324,43.28204724,6505.606218,429.8050116,560.5489877,19682538.89,1760594.22,1204.090509,26219777.78,1456,7497.035326,2739113.5,971319.27
24.33927896,0.979621553,49.84216251,29343.79541,1623.833454,789.0210025,20356708.33,1998875.92,423.6214953,26200236.11,1375,1284.405303,3297627.74,1291551.82
21.98591434,0.769301555,40.19989567,38883.41441,625.8590022,234.6336896,19628300,1807514.34,1520.018425,26247602.78,1336,11193.21612,2659122.32,844407.98
24.9735247,0.964937356,46.73618566,39061.35265,498.9693655,489.6904709,20070233.33,1744911.36,1177.983328,26201033.33,1333,7672.154267,2717882.87,965771.51
24.52487257,0.345883085,40.37633873,23120.63543,720.5323691,692.7097613,19536597.22,1837444.56,882.0974406,26255255.56,1301,4284.406018,2866648.54,1022003.98
20.1574722,0.801568084,49.86428514,9720.615775,752.7196986,218.1114211,20448363.89,1767521.38,1478.756553,26184452.78,1366,11990.98327,2676001.29,901279.91
28.38568129,0.418083187,41.10930762,30487.97418,799.3325367,837.2155751,19560644.44,1868625.42,685.5756082,26250944.44,1340,2999.398952,2974529.71,1098704.29
25.78711265,0.979587723,49.90531692,30339.68268,1652.724594,837.2155751,20308344.44,1996249.54,368.2738633,26195755.56,1371,995.1103786,3312066.23,1308616.7
29.61688094,0.443207526,40.6877234,25088.94662,483.9895607,289.9880811,19955161.11,1781984.06,1333.727034,26253152.78,1320,9630.826251,2684189.88,895005.82
25.41266934,0.926926204,42.43273488,17882.19005,1209.079327,737.3057424,19494127.78,1860636.09,666.6885104,26241497.22,1340,2931.097503,2950301.54,1082465.45
24.26070966,0.281865068,41.62800734,31876.19475,712.9325438,837.2155751,19545025,1865125.06,741.487142,26234494.44,1331,2954.386911,2946626.81,1074301.75
28.81592732,0.549308505,46.07448225,30810.52656,808.9376523,801.8009055,19903058.33,1903821.97,599.7072189,26202438.89,1318,2966.454685,3041721.22,1130699.25
29.67434281,0.148687308,40.68122638,6212.775338,1109.569966,291.0401407,20010138.89,1813721.4,1119.842835,26242855.56,1526,8520.885557,2804733.51,983812.11
26.50693406,0.696690225,49.86390483,23645.01499,681.3483444,759.2628847,20280105.56,1928111.06,765.9614154,26187138.89,1387,2761.176092,3125246.33,1189935.27
20.99195166,0.482197309,42.95467947,15443.26482,440.7772013,288.7104761,19638833.33,1800398.09,1446.826591,26237797.22,1346,10164.70153,2675592.57,867994.48
23.94834077,0.774073016,41.26486617,21596.83182,469.4132839,209.8368659,19544850,1798838.9,1625.515569,26247472.22,1318,12176.09467,2632895.2,826856.3
29.49215053,0.14377931,44.02245803,12007.31554,1031.237628,671.1014102,19921708.33,1864689.77,727.4935637,26224319.44,1470,3602.335932,3007898.83,1136009.06
25.30369037,0.994526619,49.90862889,32624.22573,1618.864774,837.2155751,20321363.89,1996182.28,410.2612669,26205433.33,1368,1180.455452,3300307.96,1296925.68
27.15669679,0.839384593,41.58101942,24892.69749,1651.381703,804.6937807,19449136.11,1862668.5,493.6882875,26244944.44,1321,1818.887918,3012487.14,1142618.64
20.22270529,0.987113369,47.74314667,31386.8115,1663.042412,804.8877933,20462216.67,2010292.09,334.4249933,26169791.67,1357,1014.810878,3341939.08,1324446.99
27.86002051,0.763906458,41.27278244,29855.99592,1625.824591,726.5012047,19487055.56,1862160.1,575.4918381,26235155.56,1324,2464.558008,2981230.68,1111870.58
29.51632018,0.279282875,43.96024579,38208.79522,1515.005712,826.7420973,19989841.67,1926240.65,494.5606215,26211752.78,1402,1866.160665,3138818.45,1205377.8
20.05697452,0.644946242,44.60473029,7303.554866,440.9974891,218.812659,19825527.78,1799909.42,1456.615132,26216872.22,1317,10922.0353,2708029.1,900919.69
21.06512475,0.487220543,40.44720369,37747.41239,499.733626,218.1130265,19642119.44,1793800.83,1693.361627,26244900,1317,12308.73577,2621150.98,820150.15
20.02307344,0.994432699,49.89724114,6909.413877,652.8302878,218.812659,20436416.67,1779539.35,1527.505868,26187991.67,1379,12341.25669,2687611.83,900872.48
22.92316797,0.639629295,49.90862889,26238.42385,1643.196197,234.5383721,20396980.56,1802139.98,1164.676608,26180533.33,1385,10018.87059,2781581.58,972241.6
20.14641476,0.684451066,49.71653174,27333.36224,454.1365558,203.8200686,20441638.89,1809704.44,1809.661652,26175275,1373,14374.91344,2703346.36,886441.91
