name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,not_met_during_occupied_heating,year_one_energy_cost_us_dollars,size_kw,not_met_during_occupied_hours,natural_gas_kwh,not_met_during_occupied_cooling,size_kwh,year_one_bill_us_dollars,PMV,year_one_demand_cost_us_dollars,water_qbft
API Generated 2021-06-10 22:47:28 +0000,6f0160c2-b299-4977-800f-82291be84a03,2021-06-10T23:32:52.230Z,2021-06-10T23:47:56.720Z,completed,completed normal,20.39638013,0.152316189,41.21663587,30126.89782,506.5839261,236.6434219,19638597.22,763,1815234.27,1447.594499,2079,26249705.56,1316,10768.64415,2676194.9,1338,853760.62,120727
API Generated 2021-06-11 01:35:34 +0000,5c48ec13-afc3-4dff-945e-5d94aad21e68,2021-06-11T01:35:39.478Z,2021-06-11T01:51:34.877Z,completed,completed normal,29.87330671,0.148687308,40.71142292,5884.698484,789.7403233,291.0401407,20065686.11,765,1789068.89,1239.201412,2319,26234294.44,1554,8946.881163,2759402.62,1683,963133.73,121986.9
API Generated 2021-06-10 19:10:03 +0000,1274cfbe-5189-4ff8-938b-6f4794a23046,2021-06-10T19:42:15.599Z,2021-06-10T19:57:06.901Z,completed,completed normal,27.07488441,0.619672519,43.92546322,8126.388943,428.0691917,318.4947209,19570602.78,765,1761833.01,1295.754119,2111,26214283.33,1346,9332.99216,2671449.43,1342,902416.43,120240.82
API Generated 2021-06-11 05:12:29 +0000,29610d2c-eddc-4a25-85db-e89cfd04382b,2021-06-11T05:56:50.335Z,2021-06-11T06:11:52.803Z,completed,completed normal,20.21894603,0.430220617,48.91069442,12374.97352,478.5366555,203.81118,20455125,762,1806696.94,1740.61222,2136,26197627.78,1374,13906.10605,2704583.04,1335,890686.1,127556.34
API Generated 2021-06-11 06:13:14 +0000,8dd3a44a-90c5-478e-9053-b59c2fe5f5ed,2021-06-11T06:13:18.801Z,2021-06-11T06:29:31.866Z,completed,completed normal,21.73436668,0.602046134,40.32400547,39202.35364,525.2398835,215.5108139,19635980.56,764,1797975.21,1695.860262,2052,26254755.56,1288,12442.32381,2626318.46,1335,821143.25,120635.76
API Generated 2021-06-10 19:26:17 +0000,1f42f6e8-b1c9-4830-9100-709868a1f3e1,2021-06-10T20:12:07.893Z,2021-06-10T20:27:06.829Z,completed,completed normal,27.17388409,0.994526619,49.90695406,31482.42569,1670.25629,831.9883921,20250041.67,762,1990457.78,378.5631425,2144,26195586.11,1382,1052.480134,3303543.82,1338,1305886.03,125413.07
API Generated 2021-06-11 09:16:38 +0000,9090f96a-ef4d-4f28-af7c-d9de698d9939,2021-06-11T09:16:39.076Z,2021-06-11T09:32:36.653Z,completed,completed normal,28.92610298,0.823591141,42.14386358,39363.50071,1652.345537,783.6526152,19683427.78,764,1890259.41,480.1585324,2084,26237547.22,1320,1858.524616,3048048.02,1343,1150588.61,119815.48
API Generated 2021-06-11 01:35:34 +0000,93bb2f8a-7fb0-4820-8463-593cfe197679,2021-06-11T01:35:37.972Z,2021-06-11T01:51:08.000Z,completed,completed normal,29.75429704,0.426662102,40.54995276,5805.614449,1619.072141,787.9240189,19962655.56,764,1932295.02,452.2310206,2099,26251091.67,1335,1932.942906,3151068.35,1338,1211573.33,122656.1
API Generated 2021-06-10 18:07:53 +0000,a5ff91fe-ba55-4f60-b58d-843631c61d21,2021-06-10T18:53:36.667Z,2021-06-10T19:07:43.201Z,completed,completed normal,26.22418675,0.300972315,41.5618431,36060.89443,656.7748271,222.6940018,19495800,764,1789767.17,1530.208991,2090,26222330.56,1326,11285.85306,2635738.84,1339,838771.67,119291.66
API Generated 2021-06-11 08:03:01 +0000,826e842e-acb5-49a9-9440-25b0a2457845,2021-06-11T08:59:28.463Z,2021-06-11T09:14:00.512Z,completed,completed normal,25.83085726,0.585953464,40.49061347,29134.46673,463.8780835,203.7661778,19504747.22,765,1793557.33,1614.57719,2069,26255527.78,1304,12133.02752,2628266.31,1336,827508.98,119474.2
API Generated 2021-06-11 01:35:34 +0000,6a95cd0e-dd14-4628-8361-3f29f3f51dcd,2021-06-11T02:23:00.314Z,2021-06-11T02:37:35.587Z,completed,completed normal,21.34807097,0.578868092,40.75078425,24217.92438,648.3903881,227.2670461,19622575,765,1815328.08,1424.760238,2082,26248294.44,1317,10592.06613,2679609.83,1339,857081.75,120568.3
API Generated 2021-06-11 06:30:08 +0000,967d6849-4015-47af-9bfa-0e28e21c247f,2021-06-11T07:27:30.786Z,2021-06-11T07:41:53.169Z,completed,completed normal,26.2127344,0.894710127,49.59823068,37454.0848,1670.051734,837.2155751,20301219.44,762,1995652.41,334.3427954,2134,26201294.44,1372,997.7834282,3313154.72,1342,1310302.31,125829.45
API Generated 2021-06-11 01:35:34 +0000,e4bef3e1-60b0-4a8b-9feb-dc091195f2a8,2021-06-11T01:35:36.694Z,2021-06-11T01:52:02.588Z,completed,completed normal,20.34628256,0.46500291,49.69841738,13752.05351,497.4475922,203.7787887,20438841.67,765,1803095.8,1684.658528,2117,26189705.56,1352,13502.12318,2704888.61,1342,894592.81,127474.59
API Generated 2021-06-10 17:38:10 +0000,ed4b44cb-1026-45ac-a8bf-44359ac55e5b,2021-06-10T17:54:41.554Z,2021-06-10T18:09:48.705Z,completed,completed normal,23.67396766,0.814426389,46.95256134,12626.15872,833.1567756,691.5516354,20281519.44,764,1914081.76,669.7815925,2106,26210372.22,1342,3049.016031,3094801.62,1342,1173519.86,126324.18
API Generated 2021-06-11 01:35:34 +0000,d0da15bc-7e8e-4973-9068-420b84f99afe,2021-06-11T02:20:43.917Z,2021-06-11T02:34:59.486Z,completed,completed normal,22.76191654,0.397859507,40.35152718,33514.86408,436.6494377,213.6502433,19605122.22,764,1798315.95,1704.918495,2089,26246019.44,1325,12614.81897,2624371.48,1337,818855.53,120321.1
API Generated 2021-06-11 03:07:03 +0000,0317f912-75c6-41e9-b8fe-92e0beff8e08,2021-06-11T04:06:53.350Z,2021-06-11T04:21:38.459Z,completed,completed normal,29.35053563,0.901681011,49.68016014,32835.7514,523.3241535,519.3366169,20201625,762,1688870.07,1280.160815,2168,26185241.67,1406,7420.665766,2654714.13,1340,958644.05,124614.9
API Generated 2021-06-11 03:07:03 +0000,a6b2e1d9-4253-448b-a4fa-d929e78043be,2021-06-11T03:54:04.605Z,2021-06-11T04:09:21.564Z,completed,completed normal,28.20483832,0.994335777,49.60686309,27080.80077,1669.708767,837.2155751,20222925,765,1987986.23,350.2503477,2150,26202127.78,1385,1052.016929,3301344.27,1340,1306158.03,124923.42
API Generated 2021-06-11 07:45:31 +0000,d06e4ada-bb45-4779-88bf-a9b8f2c0d453,2021-06-11T08:30:26.124Z,2021-06-11T08:44:42.083Z,completed,completed normal,29.7667328,0.439801766,40.6877234,34316.83686,447.2515827,312.7151612,20067947.22,768,1795092.84,1261.444285,2074,26243841.67,1306,9546.748542,2716280.77,1340,913987.94,122990.44
API Generated 2021-06-10 22:48:24 +0000,9a27b80c-64ac-40c6-a191-beecbd3d40d4,2021-06-10T23:33:30.179Z,2021-06-10T23:48:57.255Z,completed,completed normal,21.1586407,0.812265588,40.96342945,38553.19623,1592.25237,273.3028278,19634361.11,764,1846293.87,1039.110195,2092,26250044.44,1328,8131.531808,2786909.02,1339,933415.15,120618.88
API Generated 2021-06-11 09:16:38 +0000,a09905e9-81f9-4a74-8aca-5e7960613214,2021-06-11T09:47:28.556Z,2021-06-11T10:03:19.489Z,completed,completed normal,25.44492771,0.860787403,42.31482125,37499.13609,1658.510805,804.6937807,19503438.89,768,1868461.39,479.8689381,2097,26240577.78,1329,1718.778844,3009704.2,1336,1134042.81,119525.09
API Generated 2021-06-11 08:17:14 +0000,e553042e-59c4-4a8f-bbc9-f6290a7202c9,2021-06-11T09:02:07.359Z,2021-06-11T09:16:28.876Z,completed,completed normal,25.39686098,0.814651311,40.84625871,26995.32354,1536.400683,774.4430861,19501572.22,764,1864499.31,564.0351955,2088,26251005.56,1324,2316.105409,2975725.15,1342,1104025.84,119444.88
API Generated 2021-06-10 22:31:54 +0000,7705e002-e086-4ff2-83eb-6005c7b953d6,2021-06-10T22:48:15.606Z,2021-06-10T23:03:42.303Z,completed,completed normal,29.7763368,0.396197938,42.9912495,5586.811874,542.1268884,639.4536233,19969411.11,763,1787452.39,1105.316476,2109,26224586.11,1346,6533.126794,2798222.92,1345,1003570.53,122579.06
API Generated 2021-06-10 22:31:54 +0000,3607200c-9855-4236-9167-1d192b54530e,2021-06-10T23:04:00.884Z,2021-06-10T23:18:59.728Z,completed,completed normal,21.94986739,0.65734497,49.52835477,14875.07325,563.5745723,518.1293425,20413758.33,764,1722731.97,1268.826581,2143,26199950,1379,7360.726621,2696596.91,1341,966664.94,127104.78
API Generated 2021-06-11 04:40:31 +0000,14db0f0c-afc2-427a-9e03-821c880888f0,2021-06-11T05:26:02.770Z,2021-06-11T05:41:00.453Z,completed,completed normal,21.81529382,0.406734799,49.90862889,28914.35133,1643.196197,782.2594335,20416119.44,766,2004055.12,424.2840454,2168,26188211.11,1402,1290.472408,3302780.98,1339,1291525.87,127203.6
API Generated 2021-06-11 00:20:31 +0000,ff0aa42a-060f-4a8c-b255-4caa5245b67e,2021-06-11T01:18:44.592Z,2021-06-11T01:33:29.285Z,completed,completed normal,24.24819653,0.994268168,49.9051714,11656.17229,1621.577865,203.8950412,20354530.56,765,1797006.35,1182.335164,2132,26186500,1367,10310.71222,2768924.45,1342,964718.1,126513.22
API Generated 2021-06-11 06:13:14 +0000,79308f6e-fb03-4318-84d6-e32e50c35e09,2021-06-11T06:29:50.123Z,2021-06-11T06:44:44.618Z,completed,completed normal,20.10990183,0.762280256,47.21157048,35642.65592,426.4491924,804.8877933,20476066.67,762,1945071.88,771.9703004,2094,26199055.56,1332,2874.079462,3132417.42,1341,1180145.54,127516.07
API Generated 2021-06-11 04:57:31 +0000,ac315dcb-40ce-4f3a-96e0-ae9ccefbc03e,2021-06-11T05:43:17.115Z,2021-06-11T05:57:37.435Z,completed,completed normal,25.70968292,0.982127913,41.2126679,36715.97892,1658.870869,797.9361767,19503947.22,766,1867755.85,493.6188361,2076,26233955.56,1310,1819.656841,3005068.86,1337,1130113,119513.5
API Generated 2021-06-10 17:38:10 +0000,c53944fb-7cff-42fd-b524-5261ae537f3d,2021-06-10T18:22:56.397Z,2021-06-10T18:37:04.657Z,completed,completed normal,20.02209154,0.643872919,40.3885223,27304.45936,1451.073471,239.0489749,19642586.11,767,1844172.75,1112.717767,2073,26249602.78,1306,8570.965422,2777571.18,1341,926198.43,120576.15
API Generated 2021-06-11 00:19:56 +0000,9fad2cab-0877-456a-9f35-c2b93c844bd1,2021-06-11T01:04:12.065Z,2021-06-11T01:19:01.312Z,completed,completed normal,20.67731945,0.53962269,40.25950517,13017.407,484.2662893,220.2917711,19660950,767,1833133.72,1588.962857,2102,26244530.56,1335,11233.6697,2710813.61,1335,870479.89,120726.66
API Generated 2021-06-11 06:13:14 +0000,5c9fe9e0-64c5-49cd-876e-b9f3ef8ee393,2021-06-11T07:00:20.456Z,2021-06-11T07:14:44.729Z,completed,completed normal,26.82290289,0.568214722,41.58101942,33318.65706,1473.642231,821.6290236,19464363.89,767,1863077.4,523.3410081,2075,26234944.44,1308,1949.768228,2993396.28,1338,1123118.88,119049.38
API Generated 2021-06-11 09:33:08 +0000,836c872e-a8c1-4a59-933e-c34d7cff1b5b,2021-06-11T10:18:52.024Z,2021-06-11T10:33:46.669Z,completed,completed normal,29.32029173,0.891118507,49.85845316,39470.99064,754.8077583,438.7400722,20215455.56,763,1692100.46,1331.039881,2141,26184297.22,1378,8096.090936,2643049.84,1338,943749.38,124665.31
API Generated 2021-06-10 19:10:03 +0000,b7378da6-40ec-40d2-a9e9-2b94183c4c59,2021-06-10T19:26:29.525Z,2021-06-10T19:42:02.591Z,completed,completed normal,22.63254787,0.464029379,40.31467758,14875.07325,501.2163425,260.1634795,19601383.33,764,1803891.63,1621.378459,2080,26261633.33,1316,11492.75176,2656294.09,1336,845202.45,120325.11
API Generated 2021-06-10 17:38:10 +0000,e3a58a9a-4353-4441-8251-ac79d2383b80,2021-06-10T18:24:48.083Z,2021-06-10T18:39:59.011Z,completed,completed normal,25.46102797,0.50255051,42.67351057,24464.61315,1099.717794,441.2995132,19497788.89,764,1806252.82,995.8425385,2065,26239466.67,1301,5942.395654,2770161.35,1336,956708.53,119516.53
API Generated 2021-06-10 20:48:13 +0000,61009860-4664-4733-aea0-b5f3d782ebba,2021-06-10T21:18:33.486Z,2021-06-10T21:32:55.961Z,completed,completed normal,29.14536294,0.483674433,43.90662513,18538.86368,501.2163425,649.4041458,19760069.44,765,1840857.41,863.61571,2101,26218855.56,1336,4676.818408,2880776.75,1340,1032719.34,120504.34
API Generated 2021-06-11 03:39:06 +0000,8492bb07-c203-4071-8412-fc0abd7f5a07,2021-06-11T04:25:15.199Z,2021-06-11T04:40:23.124Z,completed,completed normal,29.26054949,0.858283765,49.67266281,17290.96707,419.2631884,760.3277249,20198202.78,762,1877797.63,827.2757525,2143,26193530.56,1381,3240.592556,3041648.13,1337,1156650.5,124621.7
API Generated 2021-06-11 04:40:31 +0000,91d9905f-6db4-4233-a0c0-66d4f8571b5e,2021-06-11T05:26:20.152Z,2021-06-11T05:41:19.246Z,completed,completed normal,25.5726745,0.9895784,47.43366812,39394.74682,1639.381256,834.2927385,20336477.78,765,1998568.01,375.8464634,2115,26190741.67,1350,1017.76002,3319680.18,1342,1313912.17,126052.47
API Generated 2021-06-11 07:45:31 +0000,2fbdc89a-a9a2-4dc3-ae1e-f1b2f54da067,2021-06-11T08:33:12.635Z,2021-06-11T08:47:21.224Z,completed,completed normal,22.36804327,0.602046134,40.25031751,39202.35364,525.2398835,225.2427623,19620158.33,765,1811808.28,1474.912251,2088,26241113.89,1323,10997.9943,2668387.96,1339,849379.68,120505.27
API Generated 2021-06-10 20:48:13 +0000,5260f3da-f200-4073-9756-442fc2e3f078,2021-06-10T20:48:13.727Z,2021-06-10T21:04:33.683Z,completed,completed normal,25.90944758,0.200203775,42.67351057,27887.07792,1061.800406,445.7751545,19486655.56,761,1825738.28,935.7371912,2116,26227913.89,1355,5844.452237,2802942.65,1336,970004.37,119346.84
API Generated 2021-06-11 07:45:31 +0000,e1f4b95d-0708-4088-96a5-59b94258118e,2021-06-11T07:45:33.121Z,2021-06-11T08:02:55.021Z,completed,completed normal,20.7872019,0.577303423,48.59397608,32210.02391,1669.947047,796.2749948,20448816.67,763,2008802.58,375.2370776,2130,26193227.78,1367,1051.214714,3329141.28,1339,1313138.7,127413.56
API Generated 2021-06-11 02:07:37 +0000,1eb8fbf9-e3b7-452e-ac42-c5da82f9c834,2021-06-11T02:52:28.934Z,2021-06-11T03:06:34.593Z,completed,completed normal,27.64338219,0.953183941,40.37704746,29910.45685,1585.531789,837.2155751,19479933.33,765,1866746.33,466.3782792,2076,26257950,1311,1594.417895,3028328.47,1336,1154382.14,118909.19
API Generated 2021-06-11 01:35:34 +0000,514b28ab-17dd-43a4-a102-3f47a53907b4,2021-06-11T01:51:54.170Z,2021-06-11T02:07:11.083Z,completed,completed normal,24.29277576,0.502994905,47.34441722,35848.15022,1662.025592,794.0385307,20388350,764,2002350.94,337.9686718,2112,26191500,1348,1043.297295,3313224.48,1336,1303673.54,126649.27
API Generated 2021-06-11 04:40:31 +0000,41c365f7-ed1e-444e-b8d2-63f53d453f7f,2021-06-11T04:40:33.747Z,2021-06-11T04:57:17.705Z,completed,completed normal,27.18484655,0.994526619,49.90862889,33571.46305,1643.196197,837.2155751,20260286.11,763,1991834.83,367.7555357,2124,26183652.78,1361,994.9731376,3308209.56,1341,1309174.73,125418.55
API Generated 2021-06-11 00:34:20 +0000,9dc3a235-c3ef-49a1-82f5-baf026014cf8,2021-06-11T01:18:52.417Z,2021-06-11T01:33:47.263Z,completed,completed normal,27.09431979,0.33873815,49.74163994,39372.33055,1619.809802,836.7172316,20267547.22,764,1992473.2,367.9032955,2138,26199141.67,1374,996.4218148,3306255.64,1336,1306582.43,125483.57
API Generated 2021-06-11 03:07:03 +0000,4144d5ea-6f90-4dfa-8091-aafc826681ce,2021-06-11T03:07:05.068Z,2021-06-11T03:24:01.973Z,completed,completed normal,25.05072345,0.993630139,49.31327552,35785.37091,1667.042354,799.2042364,20334708.33,763,1996946.49,413.1667458,2124,26200775,1361,1233.601451,3296669.29,1342,1292522.8,126330.68
API Generated 2021-06-10 22:31:54 +0000,776d62cb-441f-4e31-bec9-c50671ededf3,2021-06-10T22:31:58.828Z,2021-06-10T22:48:31.139Z,completed,completed normal,20.29405206,0.601542623,40.83060977,37503.56525,499.733626,231.0352963,19646363.89,761,1814902.34,1502.172717,2096,26250361.11,1335,11123.99597,2670477.43,1340,848375.09,120715.32
API Generated 2021-06-11 06:44:17 +0000,0b2235c9-a158-42f8-84b3-0926b17b10e3,2021-06-11T07:28:50.056Z,2021-06-11T07:43:56.540Z,completed,completed normal,29.32384977,0.494037493,45.27714256,5760.512222,431.1244411,788.4420479,19895622.22,762,1917640.73,651.5468281,2117,26212652.78,1355,3377.318099,3042087.69,1340,1117246.96,122386.05
API Generated 2021-06-11 06:13:14 +0000,d5343a1d-72e5-4ebb-9575-dc85a8e53408,2021-06-11T06:44:10.067Z,2021-06-11T06:58:54.703Z,completed,completed normal,28.22368681,0.521724042,41.84920261,35618.26622,1503.73217,826.0321888,19538558.33,762,1872044.59,514.4907498,2109,26229838.89,1347,1818.210436,3024614.56,1333,1145369.97,119122
API Generated 2021-06-11 08:02:16 +0000,61171fd4-2004-4c40-9bff-0440fea4246d,2021-06-11T08:47:21.406Z,2021-06-11T09:02:10.119Z,completed,completed normal,29.74037281,0.718769788,49.58992116,12007.31554,1031.237628,642.4034593,20180994.44,767,1895221.17,659.9033932,2152,26198394.44,1385,3097.603535,3082850.84,1340,1180429.67,124476.12
API Generated 2021-06-11 06:45:17 +0000,4af88e79-7c28-42d1-96b5-84fdea90886c,2021-06-11T07:29:50.894Z,2021-06-11T07:45:04.128Z,completed,completed normal,29.37774199,0.720128088,40.31747547,24959.69529,1522.225885,822.850029,19845055.56,768,1910512.89,468.3079297,2080,26254958.33,1312,1732.733563,3095923.87,1340,1178210.98,121217.32
API Generated 2021-06-11 04:40:31 +0000,3afc0baf-aebc-478a-88db-f335a6f6a425,2021-06-11T05:27:59.860Z,2021-06-11T05:42:27.010Z,completed,completed normal,21.87236988,0.567613989,40.16884964,33647.31876,464.1103061,203.7343668,19631638.89,763,1804717.47,1709.041321,2101,26264933.33,1338,12673.61622,2633903.23,1333,821985.76,120723.62
API Generated 2021-06-10 19:10:03 +0000,d892152c-1197-4bfc-bb8d-0f43bde97f2f,2021-06-10T19:54:27.324Z,2021-06-10T20:09:14.718Z,completed,completed normal,20.49253888,0.446002562,49.57314949,7818.26644,448.396789,355.0677528,20441552.78,763,1753521.69,1452.142417,2135,26206225,1372,9917.161133,2686233.67,1335,925511.98,127422.74
API Generated 2021-06-10 22:47:58 +0000,a2b48937-31cc-4c5a-81cf-e852e7f7b149,2021-06-10T23:33:11.013Z,2021-06-10T23:48:06.387Z,completed,completed normal,29.21541089,0.377790448,41.82759314,29675.58833,441.9590415,759.1115109,19786383.33,765,1893002.49,743.6634542,2076,26238616.67,1311,3521.594618,2997771.26,1341,1097568.77,120639.26
API Generated 2021-06-11 03:23:58 +0000,25c9b89e-bc5e-4496-8942-8899f6ce8949,2021-06-11T04:21:22.597Z,2021-06-11T04:36:09.486Z,completed,completed normal,28.089705,0.994526619,49.90862889,31825.03746,1643.196197,837.2155751,20220852.78,764,1988110,367.7992508,2151,26195408.33,1387,995.0818407,3304483.07,1338,1309173.07,124940.66
API Generated 2021-06-11 00:03:52 +0000,39896fdd-5b87-4b59-bd15-5f04ca59fb2e,2021-06-11T00:49:56.232Z,2021-06-11T01:04:35.882Z,completed,completed normal,25.20698236,0.994526619,49.79767252,38470.60393,1655.032695,826.5771879,20328750,766,1997868.37,370.8945972,2147,26200788.89,1381,1052.298226,3308732.43,1342,1303664.06,126134.69
API Generated 2021-06-11 09:16:38 +0000,00c14229-6206-4c1c-8d3f-3eb70d6135df,2021-06-11T09:32:51.170Z,2021-06-11T09:47:28.509Z,completed,completed normal,22.2290492,0.48230271,40.26424198,26755.32611,479.8975336,221.7170913,19611144.44,764,1792483.98,1686.318594,2092,26248000,1328,12302.01064,2619986.66,1336,820302.67,120364.47
API Generated 2021-06-10 22:31:54 +0000,a694a057-31b8-4d2a-8bc7-74cdc12ca5b0,2021-06-10T23:32:23.734Z,2021-06-10T23:47:20.743Z,completed,completed normal,22.35107111,0.356646177,46.53702049,29862.5436,1095.963791,619.4651205,20171300,765,1929690.88,639.326085,2120,26202933.33,1355,2881.703406,3079000.37,1341,1142109.48,125969.07
API Generated 2021-06-11 07:45:31 +0000,f3f149e5-e962-4288-85cd-9d4f7b72760f,2021-06-11T08:03:17.081Z,2021-06-11T08:18:07.994Z,completed,completed normal,20.06294793,0.436235801,41.57963094,19529.66131,440.1600697,220.2833224,19635297.22,764,1809173.42,1620.599102,2094,26234441.67,1330,12029.72211,2647684.59,1340,831311.17,120544.37
API Generated 2021-06-11 07:45:31 +0000,037ce50e-63ae-46a9-9252-5f4c72025483,2021-06-11T08:16:50.094Z,2021-06-11T08:31:16.778Z,completed,completed normal,21.77125692,0.486282221,40.2847215,25226.07286,450.554141,204.8086029,19626994.44,766,1804471.48,1707.216852,2090,26253058.33,1324,12659.00656,2632846.18,1340,821174.7,120510.87
API Generated 2021-06-11 03:07:03 +0000,6466b021-bda5-443a-b7ab-7e03987375cb,2021-06-11T03:38:57.446Z,2021-06-11T03:54:23.965Z,completed,completed normal,20.0238063,0.619286444,49.684239,27882.80683,467.4501792,211.5440813,20447361.11,762,1804379.06,1702.659892,2145,26189519.44,1383,13597.49019,2705922.3,1340,894343.24,127548.4
API Generated 2021-06-11 04:40:31 +0000,31e791c0-382a-45a5-b0df-9e15b50f0c8b,2021-06-11T04:40:33.280Z,2021-06-11T04:56:42.524Z,completed,completed normal,24.27151963,0.979356286,49.86602047,28680.34363,1617.891584,837.2155751,20359638.89,765,2000649.47,378.6528645,2132,26196633.33,1367,1052.41009,3313513.85,1341,1305664.37,126579.79
API Generated 2021-06-10 21:20:11 +0000,d4ff065c-cd26-4535-a5c7-1895fca42cf6,2021-06-10T22:11:56.851Z,2021-06-10T22:31:43.992Z,completed,completed normal,20.79413568,0.443197738,40.52661738,15179.23264,468.4344596,254.8461671,19645263.89,767,1812603.13,1675.171705,2085,26251816.67,1318,11485.95511,2666137.24,1338,846334.11,120636.25
API Generated 2021-06-10 19:10:03 +0000,27ce4ef7-09f8-461d-860c-65c958f1a108,2021-06-10T19:40:45.156Z,2021-06-10T19:55:15.887Z,completed,completed normal,29.41081638,0.14377931,43.97242459,17576.21244,960.9367387,675.3536358,19897200,765,1856352.21,777.0298579,2264,26220741.67,1499,4108.295124,2977067.98,1551,1113515.77,120728.06
API Generated 2021-06-11 09:33:03 +0000,04ad5116-083a-46aa-8bef-a591bb8d4494,2021-06-11T10:18:32.938Z,2021-06-11T10:33:19.528Z,completed,completed normal,29.51826793,0.184545216,41.10128952,25088.94662,483.9895607,265.7432073,19975825,761,1794458.11,1485.505114,2185,26254669.44,1424,11023.66711,2706083.03,1511,904424.92,121485.38
